Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
170,G1T1701_BR169,not in dart analysis,18.19,18193.20,4.26
171,G1T1701_BR035,G1T1701_BR_059_P,18.55,18551.09,4.27
172,G1T1701_BR046,G1T1701_BR_076_MP,18.68,18683.10,4.27
173,G1T1701_BR338,G1T1701_BR_321_MP,18.84,18844.97,4.28
174,G1T1701_BR304,G1T1701_BR_287_MP,19.43,19434.75,4.29
175,G1T1701_BR297,G1T1701_BR_280_MP,19.70,19701.05,4.29
176,G1T1701_BR098,G1T1701_BR_461_P,19.75,19751.57,4.30
177,G1T1701_BR305,G1T1701_BR_288_MP,21.04,21042.15,4.32
178,G1T1701_BR150,G1T1701_BR_131_M,22.60,22596.52,4.35
179,G1T1701_BR149,G1T1701_BR_130_M,22.94,22940.14,4.36
180,G1T1701_BR140,G1T1701_BR_122_GMP,22.96,22961.33,4.36
181,G1T1701_BR293,G1T1701_BR_276_MP,23.02,23017.95,4.36
182,G1T1701_BR349,not dart analysed,23.24,23238.81,4.37
183,G1T1701_BR308,G1T1701_BR_291_M,24.25,24254.61,4.38
184,G1T1701_BR097,G1T1701_BR_065_P,24.44,24441.67,4.39
185,G1T1701_BR234,G1T1701_BR_217_MP,24.67,24671.56,4.39
186,G1T1701_BR063,G1T1701_BR_080_GM,24.92,24919.39,4.40
187,G1T1701_BR181,G1T1701_BR_164_MP,25.63,25626.67,4.41
188,G1T1701_BR237,G1T1701_BR_220_MP,25.79,25786.96,4.41
189,G1T1701_BR313,G1T1701_BR_296_MP,28.83,28830.22,4.46
190,G1T1701_BR401,G1T1701_BR_379_MP,28.85,28846.87,4.46
191,G1T1701_BR083,G1T1701_BR_063_P,29.28,29284.75,4.47
192,G1T1701_BR204,G1T1701_BR_186_MP,29.38,29380.03,4.47
193,G1T1701_BR115,G1T1701_BR_101_MP,29.46,29462.29,4.47
194,G1T1701_BR208,G1T1701_BR_190_MP,29.53,29526.93,4.47
195,G1T1701_BR037,G1T1701_BR_104_MP,30.91,30907.49,4.49
196,G1T1701_BR207,G1T1701_BR_189_MP,31.24,31241.58,4.49
197,G1T1701_BR372,G1T1701_BR_351_MP,31.85,31848.96,4.50
198,G1T1701_BR340,G1T1701_BR_323_MP,32.35,32352.70,4.51
199,G1T1701_BR332,not in dart analysis,32.59,32593.83,4.51
200,G1T1701_BR281,G1T1701_BR_264_MP,32.93,32926.35,4.52
201,G1T1701_BR334,G1T1701_BR_317_MP,34.31,34309.82,4.54
202,G1T1701_BR347,G1T1701_BR_330_MP,34.90,34899.25,4.54
203,G1T1701_BR164,G1T1701_BR_144_MP,35.66,35662.22,4.55
204,G1T1701_BR177,G1T1701_BR_157_MP,38.27,38271.49,4.58
205,G1T1701_BR422,G1T1701_BR_400_MP,44.48,44480.18,4.65
