Cohort,FamilyID,ID,class,logGAV
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_BR_001_P,Mother,3.646040919
201604,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_BR_006_P,Mother,3.474238142
