Cohort,IntFamID,FamilyID,ID,class,LogGAV
201701,47,B3_016,201602_141_001_B1_G,Offspring,1.00E-05
201701,47,B3_016,201602_141_001_B5_G,Offspring,1.00E-05
201701,47,B3_016,201602_141_001_C2_G,Offspring,3.09
201701,47,B3_016,201602_141_001_C9_G,Offspring,1.00E-05
201701,47,B3_016,201602_141_001_F7_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_C4_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_C6_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_D1_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_D8_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_E11_G,Offspring,3.1
201701,50,B3_020,201602_141_001_E2_G,Offspring,3.16
201701,50,B3_020,201602_141_001_E9_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_G9_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_H10_G,Offspring,1.00E-05
201701,50,B3_020,201602_141_001_H7_G,Offspring,2.99
201604,35,B3_001,201602_142_005_B1_G,Offspring,1.00E-05
201604,35,B3_001,201602_142_005_D5_G,Offspring,1.00E-05
201604,35,B3_001,201602_142_005_G10_G,Offspring,1.00E-05
201604,35,B3_001,201602_142_005_H1_G,Offspring,1.00E-05
201604,38,B3_005,201602_142_005_D4_G,Offspring,1.00E-05
201604,38,B3_005,201602_142_005_E6_G,Offspring,1.00E-05
201604,38,B3_005,201602_142_005_F10_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_A12_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_A7_G,Offspring,4.12
201602,42,B3_011,201602_142_005_B12_G,Offspring,4.17
201602,42,B3_011,201602_142_005_B2_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_B3_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_B7_G,Offspring,3.91
201602,42,B3_011,201602_142_005_B8_G,Offspring,4.15
201602,42,B3_011,201602_142_005_C12_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_D1_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_D12_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_E11_G,Offspring,4.29
201602,42,B3_011,201602_142_005_E12_G,Offspring,7.23
201602,42,B3_011,201602_142_005_E3_G,Offspring,7.08
201602,42,B3_011,201602_142_005_F12_G,Offspring,4.12
201602,42,B3_011,201602_142_005_F2_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_F3_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_F5_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_F6_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_G5_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_G6_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_H2_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_H4_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_H5_G,Offspring,1.00E-05
201602,42,B3_011,201602_142_005_H6_G,Offspring,1.00E-05
201701,43,B3_012,201602_142_005_A10_G,Offspring,3.74
201701,43,B3_012,201602_142_005_C5_G,Offspring,1.00E-05
201701,43,B3_012,201602_142_005_F11_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_B11_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_C6_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_D11_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_E10_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_E4_G,Offspring,1.00E-05
201701,44,B3_013,201602_142_005_H7_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_A3_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_A5_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_B5_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_E9_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_F1_G,Offspring,1.00E-05
201701,47,B3_016,201602_142_005_F9_G,Offspring,3.71
201701,47,B3_016,201602_142_005_H8_G,Offspring,1.00E-05
201701,50,B3_020,201602_142_005_A2_G,Offspring,1.00E-05
201701,50,B3_020,201602_142_005_D3_G,Offspring,1.00E-05
201701,50,B3_020,201602_142_005_D6_G,Offspring,1.00E-05
201701,50,B3_020,201602_142_005_E5_G,Offspring,1.00E-05
201701,50,B3_020,201602_142_005_G1_G,Offspring,5.3
201701,50,B3_020,201602_142_005_G2_G,Offspring,3.88
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_001_C11_G,Offspring,1.93
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_001_G10_G,Offspring,2.02
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_001_G9_G,Offspring,4.18
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_002_A3_G,Offspring,5.53
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_002_E5_G,Offspring,3.11
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_002_H11_G,Offspring,2.41
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_003_B5_G,Offspring,3.53
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_003_E6_G,Offspring,1.78
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_003_F12_G,Offspring,2.93
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_004_A7_G,Offspring,0
201604,53,G1T1701_BR_048_P__G1T1701_BR_001_P,G1T1701_149_005_F2_G,Offspring,2.31
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_001_A11_G,Offspring,3.24
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_001_A6_G,Offspring,2.38
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_001_F2_G,Offspring,2.09
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_001_G4_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_001_H10_G,Offspring,4.77
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_002_A8_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_002_A9_G,Offspring,2.45
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_002_B1_G,Offspring,2.87
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_002_E10_G,Offspring,2.73
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_002_E3_G,Offspring,2.48
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_003_A2_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_003_B10_G,Offspring,1.84
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_003_D3_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_003_E12_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_004_C3_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_004_F9_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_005_D2_G,Offspring,2.98
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_005_E11_G,Offspring,0
201602,54,G1T1701_BR_048_P__G1T1701_BR_002_P,G1T1701_149_005_G6_G,Offspring,0
201701,55,G1T1701_BR_049_GP__G1T1701_BR_001_P,G1T1701_149_001_C12_G,Offspring,1.25
201701,55,G1T1701_BR_049_GP__G1T1701_BR_001_P,G1T1701_149_001_H2_G,Offspring,1.57
201701,55,G1T1701_BR_049_GP__G1T1701_BR_001_P,G1T1701_149_004_E1_G,Offspring,4.8
201701,55,G1T1701_BR_049_GP__G1T1701_BR_001_P,G1T1701_149_004_F6_G,Offspring,0
201701,55,G1T1701_BR_049_GP__G1T1701_BR_001_P,G1T1701_149_004_G10_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_001_A12_G,Offspring,2.72
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_001_C6_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_001_D10_G,Offspring,1.44
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_001_H8_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_002_B12_G,Offspring,2.59
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_002_D5_G,Offspring,2.18
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_002_E9_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_003_D9_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_004_A12_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_004_C2_G,Offspring,3.05
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_004_D7_G,Offspring,0
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_005_F12_G,Offspring,2.3
201602,56,G1T1701_BR_049_GP__G1T1701_BR_003_P,G1T1701_149_005_H6_G,Offspring,5.19
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_001_C1_G,Offspring,3.88
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_001_E3_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_002_F11_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_003_A12_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_003_A5_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_004_G2_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_004_G8_G,Offspring,0
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_005_C1_G,Offspring,1.51
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_005_C3_G,Offspring,1.57
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_005_E9_G,Offspring,4.96
201701,57,G1T1701_BR_053_GP__G1T1701_BR_005_P,G1T1701_149_005_G4_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_001_A3_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_001_B2_G,Offspring,1.07
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_001_D9_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_001_F1_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_A5_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_B8_G,Offspring,2.17
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_D1_G,Offspring,2.05
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_E11_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_F9_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_002_G5_G,Offspring,3.09
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_003_D11_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_003_F10_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_004_B2_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_004_D9_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_005_A1_G,Offspring,0
201604,58,G1T1701_BR_053_GP__G1T1701_BR_006_P,G1T1701_149_005_E12_G,Offspring,0
201701,59,G1T1701_BR_064_P__G1T1701_BR_031_P,G1T1701_149_003_C11_G,Offspring,0
201701,59,G1T1701_BR_064_P__G1T1701_BR_031_P,G1T1701_149_004_H1_G,Offspring,0
201701,59,G1T1701_BR_064_P__G1T1701_BR_031_P,G1T1701_149_005_B3_G,Offspring,0
201701,59,G1T1701_BR_064_P__G1T1701_BR_031_P,G1T1701_149_005_B4_G,Offspring,0
201701,60,G1T1701_BR_064_P__G1T1701_BR_033_P,G1T1701_149_002_E4_G,Offspring,0
201701,60,G1T1701_BR_064_P__G1T1701_BR_033_P,G1T1701_149_003_G8_G,Offspring,0
201701,60,G1T1701_BR_064_P__G1T1701_BR_033_P,G1T1701_149_004_A11_G,Offspring,0
201701,60,G1T1701_BR_064_P__G1T1701_BR_033_P,G1T1701_149_004_B10_G,Offspring,0
201701,60,G1T1701_BR_064_P__G1T1701_BR_033_P,G1T1701_149_005_E6_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_001_D11_G,Offspring,1.95
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_001_G11_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_002_C5_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_003_A8_G,Offspring,1.72
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_003_E9_G,Offspring,1.53
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_004_A1_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_004_A9_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_004_B9_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_004_H11_G,Offspring,0
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_005_H10_G,Offspring,1.86
201604,61,G1T1701_BR_067_GP__G1T1701_BR_037_P,G1T1701_149_005_H11_G,Offspring,1.72
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_001_B7_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_001_C5_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_003_H8_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_004_B12_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_004_D10_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_004_E9_G,Offspring,0
201701,62,G1T1701_BR_067_GP__G1T1701_BR_038_P,G1T1701_149_005_H1_G,Offspring,1.75
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_001_B4_G,Offspring,4.66
201701,63,G1T1701_BR_068_P__G1T1701_BR_017_P,G1T1701_149_001_G2_G,Offspring,3.41
