Cohort,Code,Age,Class,Animal ID,OffspringlgGAV,FamID,,Family ID,IntFamID,offspring count,pond count,larval count,Father ld,Mother ld,Mean Parent Load,Offspringmeanld,Maxld,Minld,Family ID
201602,parent,broodstock,mother,201602BR054,2.22,B3_008,,B2_002,22,33,19,14,3.90,3.06,3.48,3.44,3.99,3.07,B2_002
201602,parent,broodstock,mother,201602BR054,2.22,B3_009,,B2_003,23,100,57,43,0,0,0.00,3.64,5.17,2.58,B2_003
201604,parent,broodstock,mother,201604BR457,2.28,B2_018,,B2_004,24,28,6,22,3.94,3.01,3.48,NA,NA,NA,B2_004
201602,parent,broodstock,mother,201602BR063,2.29,B3_013,,B2_005,25,35,11,24,3.85,3.97,3.91,3.83,4.06,3.59,B2_005
201602,parent,broodstock,father,201602BR088,2.31,B3_012,,B2_007,26,143,82,61,NA,0,NA,4.28,6.96,2.74,B2_007
201602,parent,broodstock,mother,201602BR075,2.43,B3_016,,B2_008,27,9,0,9,NA,4.00,4.00,NA,NA,NA,B2_008
201602,parent,broodstock,mother,201602BR075,2.43,B3_017,,B2_009,28,27,14,13,3.15,4.09,3.62,4.40,7.28,2.96,B2_009
201604,135,pond,Offspring,201604_135_001_B8_G,2.58,B2_003,,B2_010,29,172,103,69,3.15,3.71,3.43,4.47,8.03,2.98,B2_010
201604,135,pond,Offspring,201604_135_001_F9_G,2.74,B2_007,,B2_011,30,50,23,27,3.38,3.03,3.20,4.26,4.35,4.17,B2_011
201604,135,pond,Offspring,201604_135_001_F3_G,2.75,B2_014,,B2_012,31,12,3,9,5.98,0,5.98,NA,NA,NA,B2_012
201602,parent,broodstock,mother,201602BR036,2.76,B3_004,,B2_013,32,157,107,50,5.47,0,5.47,4.29,6.40,3.19,B2_013
201602,parent,broodstock,mother,201602BR036,2.76,B3_005,,B2_014,33,237,145,92,4.07,4.15,4.11,3.95,6.98,2.75,B2_014
201604,135,pond,Offspring,201604_135_001_A8_G,2.78,B2_007,,B2_015,34,145,98,47,5.39,3.51,4.45,4.62,7.43,3.07,B2_015
201604,135,pond,Offspring,201604_135_001_A11_G,2.81,B2_003,,B2_016,35,33,18,15,4.35,3.50,3.92,3.33,3.52,3.02,B2_016
201604,135,pond,Offspring,201604_135_001_C10_G,2.84,B2_014,,B2_017,36,108,45,63,3.55,2.04,2.79,5.27,7.21,3.69,B2_017
201604,135,pond,Offspring,201604_135_001_A7_G,2.96,B2_009,,B2_018,37,43,8,35,3.34,2.28,2.81,NA,NA,NA,B2_018
201602,parent,broodstock,mother,201602BR039,2.98,B3_006,,B2_019,38,38,14,24,3.16,NA,3.16,4.89,6.30,3.48,B2_019
201604,135,pond,Offspring,201604_135_001_C9_G,2.98,B2_010,,B2_020,39,51,15,36,NA,3.41,3.41,3.74,4.30,3.26,B2_020
201602,141,pond,Offspring,201602_141_001_H7_G,2.99,B3_020,,B2_021,40,73,20,53,NA,4.00,4.00,4.27,5.09,3.62,B2_021
201604,136,pond,Offspring,201604_136_001_G2_G,3.00,B2_014,,B3_001,41,76,54,22,NA,0,na,3.15,3.17,3.14,B3_001
201604,parent,broodstock,mother,201604BR021,3.01,B2_004,,B3_003,42,38,16,22,3.57,1.84,2.70,NA,NA,NA,B3_003
201604,parent,broodstock,mother,201604BR021,3.01,B1_006,,B3_004,43,56,19,37,1.73,2.76,2.25,NA,NA,NA,B3_004
201604,135,pond,Offspring,201604_135_001_A6_G,3.02,B2_016,,B3_005,44,66,43,23,NA,2.76,2.76,NA,NA,NA,B3_005
201604,parent,broodstock,mother,201604BR003,3.03,B2_011,,B3_006,45,8,2,6,1.70,2.98,2.34,NA,NA,NA,B3_006
201604,parent,broodstock,mother,201604BR084,3.05,B1_019,,B3_007,46,70,26,44,1.39,1.46,1.43,3.15,3.15,3.15,B3_007
201604,parent,broodstock,mother,201604BR062,3.06,B2_002,,B3_008,47,41,14,27,1.73,2.22,1.98,NA,NA,NA,B3_008
201604,135,pond,Offspring,201604_135_001_F11_G,3.07,B2_015,,B3_009,48,52,26,26,0,2.22,2.22,3.16,3.16,3.16,B3_009
201604,136,pond,Offspring,201604_136_001_F10_G,3.07,B2_003,,B3_010,49,15,4,11,NA,1.63,1.63,NA,NA,NA,B3_010
201604,135,pond,Offspring,201604_135_001_D10_G,3.07,B2_002,,B3_011,50,155,102,53,1.82,0,1.82,4.40,7.23,3.08,B3_011
201602,141,pond,Offspring,201602_141_001_F11_G,3.08,B3_011,,B3_012,51,127,36,91,2.31,1.51,1.91,3.74,3.74,3.74,B3_012
201604,parent,broodstock,father,201604BR145,3.08,B1_019,,B3_013,52,139,76,63,NA,2.29,2.29,3.12,3.14,3.09,B3_013
201602,141,pond,Offspring,201602_141_001_D11_G,3.09,B3_013,,B3_014,53,17,9,8,1.39,3.32,2.36,3.14,3.14,3.14,B3_014
201602,141,pond,Offspring,201602_141_001_C2_G,3.09,B3_016,,B3_015,54,38,17,21,0,2.20,2.20,NA,NA,NA,B3_015
201604,136,pond,Offspring,201604_136_001_C10_G,3.10,B2_014,,B3_016,55,91,49,42,1.70,2.43,2.06,3.40,3.71,3.09,B3_016
201602,141,pond,Offspring,201602_141_001_E11_G,3.10,B3_020,,B3_017,56,27,15,12,3.57,2.43,3.00,NA,NA,NA,B3_017
201602,141,pond,Offspring,201602_141_001_A2_G,3.11,B3_011,,B3_019,57,69,27,42,NA,1.31,1.31,NA,NA,NA,B3_019
201604,136,pond,Offspring,201604_136_001_G6_G,3.11,B2_007,,B3_020,58,135,77,58,NA,0,NA,3.69,5.30,2.99,B3_020
201602,141,pond,Offspring,201602_141_001_H5_G,3.14,B3_014,,B3_023,59,10,5,5,NA,0,NA,NA,NA,NA,B3_023
201602,141,pond,Offspring,201602_141_001_G11_G,3.14,B3_013,,B3_029,60,30,13,17,0,NA,NA,NA,NA,NA,B3_029
201604,135,pond,Offspring,201604_135_001_H9_G,3.14,B2_010,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_A8_G,3.14,B3_013,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_H6_G,3.14,B3_001,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_B12_G,3.15,B3_007,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR231,3.15,B2_009,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR231,3.15,B2_010,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_A12_G,3.15,B3_001,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_C12_G,3.15,B3_011,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_B2_G,3.15,B2_007,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR247,3.16,B2_019,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_G3_G,3.16,B3_009,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_E2_G,3.16,B3_020,,,,,,,,,,,,,
201602,141,pond,Offspring,201602_141_001_G6_G,3.17,B3_001,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E11_G,3.18,B2_015,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR192,3.18,B1_011,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D4_G,3.19,B2_013,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_F7_G,3.19,B2_007,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C5G,3.20,B1_008,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E10_G,3.21,B2_007,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_F3_G,3.25,B2_007,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H9_G,3.25,B2_015,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR054,3.26,B1_010,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_B9_G,3.26,B2_020,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G8_G,3.27,B2_002,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_G11G,3.31,B1_008,,,,,,,,,,,,,
201602,parent,broodstock,mother,201602BR066,3.32,B3_014,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_B11G,3.32,B1_008,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR157,3.34,B1_016,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_C10G,3.34,B1_015,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR376,3.34,B2_018,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D1_G,3.35,B2_003,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR277,3.38,B2_011,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E5_G,3.38,B2_010,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_B7_G,3.38,B2_010,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_F11_G,3.39,B2_014,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_G5_G,3.39,B2_007,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR103,3.41,B1_021,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR103,3.41,B2_020,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C7G,3.41,B1_033,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR072,3.42,B1_015,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_C8G,3.45,B1_004,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_A12_G,3.45,B2_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E1_G,3.46,B2_009,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR479,3.47,B1_036,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_A2_G,3.47,B2_014,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H8_G,3.48,B2_013,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_E6G,3.48,B1_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_B11_G,3.48,B2_014,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_D9_G,3.48,B2_019,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR014,3.49,B1_003,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_H10_G,3.49,B2_007,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_B9G,3.50,B1_008,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR071,3.50,B2_016,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_E9G,3.50,B1_033,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR099,3.51,B2_015,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR059,3.51,B1_011,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR020,3.51,B1_005,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR020,3.51,B1_004,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR160,3.52,B1_003,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_F12_G,3.52,B2_016,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR160,3.52,B1_010,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_F9G,3.53,B1_033,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR365,3.55,B2_017,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_H11_G,3.57,B2_007,,,,,,,,,,,,,
201602,parent,broodstock,father,201602BR102,3.57,B3_003,,,,,,,,,,,,,
201602,parent,broodstock,father,201602BR102,3.57,B3_017,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_G6G,3.57,B1_015,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D10_G,3.58,B2_014,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E3_G,3.58,B2_007,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_C11_G,3.58,B2_013,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E11_G,3.59,B2_005,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G1_G,3.59,B2_007,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E7_G,3.62,B2_021,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_A6G,3.62,B1_037,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_C9_G,3.64,B2_003,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_B4_G,3.65,B2_013,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H4_G,3.65,B2_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_B7G,3.66,B1_015,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_A1_G,3.66,B2_014,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H11_G,3.66,B2_020,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_B8G,3.67,B1_006,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR195,3.69,B1_015,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_A4_G,3.69,B2_017,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR094,3.71,B2_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_E7G,3.71,B1_004,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_F9_G,3.71,B3_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_B6_G,3.72,B2_013,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_G7G,3.72,B1_004,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_C7_G,3.74,B2_010,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_A10_G,3.74,B3_012,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR412,3.75,B1_026,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C9G,3.77,B1_019,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_E8G,3.77,B1_011,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_F10G,3.80,B1_033,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_C6_G,3.80,B2_017,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D6_G,3.81,B2_003,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_B4G,3.81,B1_033,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_D12G,3.82,B1_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E7_G,3.82,B2_010,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR199,3.82,B1_004,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR199,3.82,B1_008,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D9_G,3.83,B2_003,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E8_G,3.83,B2_003,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_D3G,3.84,B1_008,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR189,3.85,B2_005,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_E8G,3.85,B1_011,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_H4G,3.88,B1_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_A5G,3.88,B1_023,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_G2_G,3.88,B3_020,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR133,3.90,B2_002,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR399,3.90,B1_025,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_F11G,3.90,B1_034,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_B7_G,3.91,B3_011,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_C12_G,3.91,B2_009,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_B6G,3.92,B1_011,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C6G,3.92,B1_021,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_H11G,3.92,B1_011,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_D4G,3.93,B1_025,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_A8_G,3.93,B2_010,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_F6_G,3.93,B2_015,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_B9G,3.93,B1_004,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR170,3.94,B2_004,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_C9G,3.95,B1_004,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR047,3.95,B1_008,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR085,3.97,B2_005,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_B7G,3.98,B1_037,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_H7G,3.99,B1_019,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D8_G,3.99,B2_002,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G10_G,3.99,B2_013,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR119,4.00,B2_008,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR119,4.00,B2_021,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_B10G,4.00,B1_036,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D5_G,4.00,B2_013,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_H8G,4.05,B1_019,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR204,4.05,B1_027,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_G6G,4.05,B1_033,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G4_G,4.05,B2_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_D11G,4.05,B1_026,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_E12G,4.06,B1_026,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E6_G,4.06,B2_005,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR326,4.07,B2_014,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR074,4.09,B2_009,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR074,4.09,B1_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_A12_G,4.09,B2_021,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_D11G,4.11,B1_016,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_A7_G,4.12,B3_011,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_F12_G,4.12,B3_011,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_E4G,4.12,B1_019,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR520,4.15,B2_014,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_B8_G,4.15,B3_011,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_D7G,4.15,B1_033,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_C6G,4.15,B1_033,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_D7_G,4.16,B2_013,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_C2_G,4.17,B2_011,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_B12_G,4.17,B3_011,,,,,,,,,,,,,
201604,parent,broodstock,mother,201604BR414,4.18,B1_027,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_B11_G,4.18,B2_014,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E9_G,4.19,B2_014,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_G11G,4.21,B1_021,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_H5G,4.21,B1_019,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C4G,4.23,B1_026,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_B1_G,4.25,B2_010,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_E11_G,4.29,B3_011,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H5_G,4.30,B2_020,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_G8G,4.31,B1_026,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_D5G,4.31,B1_011,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_D11_G,4.31,B2_003,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_A4_G,4.33,B2_017,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR359,4.35,B2_016,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_D12_G,4.35,B2_011,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_B11G,4.39,B1_033,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR385,4.41,B1_037,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_E11G,4.53,B1_033,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_C12G,4.56,B1_003,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR158,4.56,B1_006,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR158,4.56,B1_012,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_H1_G,4.60,B2_010,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_A3_G,4.61,B2_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_A7G,4.62,B1_025,,,,,,,,,,,,,
201604,244,pond,Offspring,244_06_C4G,4.67,B1_026,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_A11G,4.67,B1_033,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_D9G,4.70,B1_019,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_C6_G,4.70,B2_017,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_D1_G,4.72,B2_007,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR282,4.73,B1_025,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR282,4.73,B1_034,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_A12G,4.77,B1_019,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_H7G,4.80,B1_008,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_H6_G,4.83,B2_015,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G7_G,4.85,B2_014,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_C3_G,4.90,B2_015,,,,,,,,,,,,,
201604,243,pond,Offspring,243_01_B5G,4.91,B1_026,,,,,,,,,,,,,
201604,244,pond,Offspring,244_03_D9G,4.92,B1_019,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_F5_G,5.00,B2_010,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_H8G,5.00,B1_011,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E2_G,5.06,B2_007,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E12_G,5.09,B2_021,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_H9G,5.12,B1_015,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_G2_G,5.12,B2_017,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR347,5.14,B1_033,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR347,5.14,B1_036,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E5_G,5.17,B2_003,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_C1_G,5.23,B2_010,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E8_G,5.24,B2_015,,,,,,,,,,,,,
201602,142,pond,Offspring,201602_142_005_G1_G,5.30,B3_020,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_G3_G,5.36,B2_017,,,,,,,,,,,,,
201604,136,pond,Offspring,201604_136_001_E1_G,5.37,B2_013,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR336,5.39,B2_015,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR323,5.47,B2_013,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR289,5.50,B1_026,,,,,,,,,,,,,
201604,parent,broodstock,father,201604BR289,5.50,B1_030,,,,,,,,,,,,,
201604,135,pond,Offspring,201604_135_001_E12_G,5.60,B2_013,,,,,,,,,,,,,
201604,244,pond,Offspring,244_01_D7G,5.66,B1_003,,,,,,,,,,,,,
