Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,201604BR223,Father,NA,BR,BR,B2_008,66
201604,201604BR322,Father,5.98,BR,BR,B2_012,67
G1T1701,G1T1701_BR_053_GP,Father,4.78,BR,BR,G1T1701_BR_053_GP__G1T1701_BR_006_P,68
G1T1701,G1T1701_BR_182_MP,Father,4.26,BR,BR,G1T1701_BR_182_MP__G1T1701_BR_024_P,69
201602,201602BR126,Father,NA,BR,BR,B3_023,70
G1T1701,G1T1701_BR_119_MP,Father,0,BR,BR,G1T1701_BR_119_MP__G1T1701_BR_324_MP,71
201602,201602BR096,Father,1.7,BR,BR,B3_006,72
G1T1701,G1T1701_BR_053_GP,Father,4.78,BR,BR,G1T1701_BR_053_GP__G1T1701_BR_005_P,73
G1T1701,G1T1701_BR_113_MP,Father,6.29,BR,BR,G1T1701_BR_113_MP__G1T1701_BR_262_MP,74
G1T1701,G1T1701_BR_159_MP,Father,NA,BR,BR,G1T1701_BR_159_MP__G1T1701_BR_444_MP,75
G1T1701,G1T1701_BR_401_MP,Father,6.2,BR,BR,G1T1701_BR_401_MP__G1T1701_BR_025_P,76
G1T1701,G1T1701_BR_067_GP,Father,5.32,BR,BR,G1T1701_BR_067_GP__G1T1701_BR_038_P,77
G1T1701,G1T1701_BR_134_MP,Father,5.97,BR,BR,G1T1701_BR_134_MP__G1T1701_BR_444_MP,78
201604,201604BR204,Father,4.05,BR,BR,B1_027,79
G1T1701,G1T1701_BR_103_MP,Father,5.62,BR,BR,G1T1701_BR_103_MP__G1T1701_BR_012_P,80
G1T1701,G1T1701_BR_119_MP,Father,0,BR,BR,G1T1701_BR_119_MP__G1T1701_BR_015_P,81
G1T1701,G1T1701_BR_123_MP,Father,0,BR,BR,G1T1701_BR_123_MP__G1T1701_BR_251_MP,82
G1T1701,G1T1701_BR_103_MP,Father,5.62,BR,BR,G1T1701_BR_103_MP__G1T1701_BR_014_P,83
G1T1701,G1T1701_BR_211_MP,Father,7.81,BR,BR,G1T1701_BR_211_MP__G1T1701_BR_428_MP,84
G1T1701,G1T1701_BR_049_GP,Father,0,BR,BR,G1T1701_BR_049_GP__G1T1701_BR_001_P,85
G1T1701,G1T1701_BR_064_P,Father,3.5,BR,BR,G1T1701_BR_064_P__G1T1701_BR_031_P,86
G1T1701,G1T1701_BR_068_P,Father,6.61,BR,BR,G1T1701_BR_068_P__G1T1701_BR_017_P,87
G1T1701,G1T1701_BR_090_M,Father,6.04,BR,BR,G1T1701_BR_090_M__G1T1701_BR_022_P,88
G1T1701,G1T1701_BR_401_MP,Father,6.2,BR,BR,G1T1701_BR_401_MP__G1T1701_BR_450_MP,89
201604,201604BR520,Mother,4.15,BR,BR,B2_014,1
201604,201604BR456,Mother,0,BR,BR,B1_033,2
201602,201602BR060,Mother,1.51,BR,BR,B3_012,3
201604,201604BR094,Mother,3.71,BR,BR,B2_010,4
201604,201604BR102,Mother,0,BR,BR,B2_007,5
201602,201602BR056,Mother,0,BR,BR,B3_011,6
201602,201602BR123,Mother,0,BR,BR,B3_020,7
201604,201604BR537,Mother,2.04,BR,BR,B2_017,8
201602,201602BR063,Mother,2.29,BR,BR,B3_013,9
201604,201604BR429,Mother,0,BR,BR,B2_013,10
201604,201604BR059,Mother,3.51,BR,BR,B1_011,11
201604,201604BR060,Mother,0,BR,BR,B1_012,12
201604,201604BR099,Mother,3.51,BR,BR,B2_015,13
201604,201604BR119,Mother,4,BR,BR,B2_021,14
201604,201604BR049,Mother,0,BR,BR,B2_003,15
201604,201604BR412,Mother,3.75,BR,BR,B1_026,16
201602,201602BR075,Mother,2.43,BR,BR,B3_016,17
201602,201602BR040,Mother,1.46,BR,BR,B3_007,18
201602,201602BR085,Mother,1.31,BR,BR,B3_019,19
201604,201604BR072,Mother,3.42,BR,BR,B1_015,20
G1T1701,G1T1701_BR_262_MP,Mother,6.03,BR,BR,G1T1701_BR_131_M__G1T1701_BR_262_MP,21
201604,201604BR020,Mother,3.51,BR,BR,B1_004,22
201604,201604BR103,Mother,3.41,BR,BR,B2_020,23
201602,201602BR036,Mother,2.76,BR,BR,B3_004,24
201604,201604BR457,Mother,2.28,BR,BR,B2_018,25
201602,201602BR036,Mother,2.76,BR,BR,B3_005,26
201602,201602BR026,Mother,0,BR,BR,B3_001,27
201602,201602BR054,Mother,2.22,BR,BR,B3_009,28
201604,201604BR021,Mother,3.01,BR,BR,B1_006,29
201604,201604BR479,Mother,3.47,BR,BR,B1_036,30
201604,201604BR003,Mother,3.03,BR,BR,B2_011,31
201604,201604BR474,Mother,NA,BR,BR,B2_019,32
201602,201602BR054,Mother,2.22,BR,BR,B3_008,33
201604,201604BR085,Mother,3.97,BR,BR,B2_005,34
