Cohort,SampleID,GAV,Class,Code,Type,FamilyID,IntFamID,,,,,,,,sample ID,GAV
201602,141_001_C7_G,0,Offspring,141,pond,B3_005,26,,,,,,,,RC9_334,NA
201602,141_001_C9_G,0,Offspring,141,pond,B3_016,16,,,,,,,,RC9_338,NA
201602,141_001_D1_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC9_346,NA
201602,141_001_D10_G,0,Offspring,141,pond,B3_019,19,,,,,,,,RC9_357,NA
201602,141_001_D11_G,3.09,Offspring,141,pond,B3_013,9,,,,,,,,RC9_394,NA
201602,141_001_D12_G,0,Offspring,141,pond,B3_005,26,,,,,,,,RC9_396,NA
201602,141_001_D2_G,0,Offspring,141,pond,B3_023,69,,,,,,,,RC9_422,NA
201602,141_001_D3_G,0,Offspring,141,pond,B3_001,27,,,,,,,,RC9_425,NA
201602,141_001_D8_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC9_428,NA
201602,141_001_D9_G,0,Offspring,141,pond,B3_012,3,,,,,,,,RC9_436,NA
201602,141_001_E10_G,0,Offspring,141,pond,B3_004,24,,,,,,,,RC9_451,NA
201602,141_001_E11_G,3.1,Offspring,141,pond,B3_020,7,,,,,,,,RC9_455,NA
201602,141_001_E12_G,0,Offspring,141,pond,B3_009,28,,,,,,,,243_01_E8G,3.85
201602,141_001_E2_G,3.16,Offspring,141,pond,B3_020,7,,,,,,,,243_01_H3G,6.52
201602,141_001_E3_G,0,Offspring,141,pond,B3_015,35,,,,,,,,244_01_H11G,3.92
201602,141_001_E5_G,0,Offspring,141,pond,B3_005,26,,,,,,,,244_01_H8G,5
201602,141_001_E6_G,0,Offspring,141,pond,B3_011,6,,,,,,,,RC8_027,NA
201602,141_001_E9_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC8_104,7.92
201602,141_001_F1_G,0,Offspring,141,pond,B3_014,59,,,,,,,,RC8_119,6.7
201602,141_001_F11_G,3.08,Offspring,141,pond,B3_011,6,,,,,,,,RC8_142,6.91
201602,141_001_F3_G,0,Offspring,141,pond,B3_012,3,,,,,,,,RC8_159,7.25
201602,141_001_F7_G,0,Offspring,141,pond,B3_016,16,,,,,,,,RC8_196,NA
201602,141_001_F8_G,0,Offspring,141,pond,B3_029,45,,,,,,,,RC8_212,NA
201602,141_001_G10_G,0,Offspring,141,pond,B3_011,6,,,,,,,,RC8_231,NA
201602,141_001_G11_G,3.14,Offspring,141,pond,B3_013,9,,,,,,,,RC8_258,NA
201602,141_001_G3_G,3.16,Offspring,141,pond,B3_009,28,,,,,,,,RC8_266,NA
201602,141_001_G5_G,0,Offspring,141,pond,B3_023,69,,,,,,,,RC8_377,NA
201602,141_001_G6_G,3.17,Offspring,141,pond,B3_001,27,,,,,,,,RC8_410,NA
201602,141_001_G9_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC8_447,NA
201602,141_001_H10_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC8_480,7
201602,141_001_H11_G,0,Offspring,141,pond,B3_007,18,,,,,,,,RC8_507,7.26
201602,141_001_H5_G,3.14,Offspring,141,pond,B3_014,59,,,,,,,,RC8_515,7.41
201602,141_001_H6_G,3.14,Offspring,141,pond,B3_001,27,,,,,,,,RC8_527,6.27
201602,141_001_H7_G,2.99,Offspring,141,pond,B3_020,7,,,,,,,,RC9_018,NA
201602,141_001_H8_G,0,Offspring,141,pond,B3_007,18,,,,,,,,RC9_022,NA
201602,142_001_A1_G,NA,Offspring,142,pond,B3_001,27,,,,,,,,RC9_032,NA
201602,142_001_A10_G,NA,Offspring,142,pond,B3_013,9,,,,,,,,RC9_033,NA
201602,142_001_A2_G,NA,Offspring,142,pond,B3_001,27,,,,,,,,RC9_036,NA
201602,142_001_A3_G,NA,Offspring,142,pond,B3_020,7,,,,,,,,RC9_041,NA
201602,142_001_A4_G,NA,Offspring,142,pond,B3_001,27,,,,,,,,RC9_048,NA
201602,142_001_A7_G,NA,Offspring,142,pond,B3_001,27,,,,,,,,RC9_063,NA
201602,142_001_A8_G,NA,Offspring,142,pond,B3_012,3,,,,,,,,RC9_115,7.9
201602,142_001_B1_G,NA,Offspring,142,pond,B3_005,26,,,,,,,,RC9_117,7.42
201602,142_001_B10_G,NA,Offspring,142,pond,B3_011,6,,,,,,,,RC9_122,7.64
