Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,GAVoffspringcount,,,IntFamID,GAVoffspringcount
201604,RC9_207_PL,6.7,larval,Offspring,B1_005,10,8,,,,
201604,RC9_189_PL,7.1,larval,Offspring,B1_005,10,8,,,,
201604,RC9_273_PL,7.21,larval,Offspring,B1_005,10,8,,,,
201604,RC9_195_PL,7.59,larval,Offspring,B1_005,10,8,,,,
201602,RC9_275_PL,6.98,larval,Offspring,B1_036,11,12,,,,
201604,201604BR347,5.14,broodstock,father,B1_036,11,12,,,,
201604,201604BR479,3.47,broodstock,mother,B1_036,11,12,,,,
201604,RC9_154_PL,6.51,larval,Offspring,B1_036,11,12,,,,
201604,RC9_267_PL,6.93,larval,Offspring,B1_036,11,12,,,,
201604,RC9_276_PL,7.07,larval,Offspring,B1_036,11,12,,,,
201604,RC9_171_PL,7.35,larval,Offspring,B1_036,11,12,,,,
201604,RC9_265_PL,7.51,larval,Offspring,B1_036,11,12,,,,
201604,RC8_143_PL,7.73,larval,Offspring,B1_036,11,12,,,,
201604,243_01_B10G,4,pond,Offspring,B1_036,11,12,,,,
201604,243_01_B12G,6.09,pond,Offspring,B1_036,11,12,,,,
201604,243_01_G9G,7.21,pond,Offspring,B1_036,11,12,,,,
201604,243_021P,NA,pond,Offspring,B1_036,11,12,,,,
201604,243_032P,NA,pond,Offspring,B1_036,11,12,,,,
201602,243_079P,NA,pond,Offspring,B1_015,12,15,,,,
201604,201604BR195,3.69,broodstock,father,B1_015,12,15,,,,
201604,201604BR072,3.42,broodstock,mother,B1_015,12,15,,,,
201604,RC9_105_PL,3.86,larval,Offspring,B1_015,12,15,,,,
201604,RC9_158_PL,4.89,larval,Offspring,B1_015,12,15,,,,
201604,RC8_158_PL,5.15,larval,Offspring,B1_015,12,15,,,,
201604,RC8_481_PL,5.67,larval,Offspring,B1_015,12,15,,,,
201604,RC9_238_PL,6.47,larval,Offspring,B1_015,12,15,,,,
201604,RC8_496_PL,6.69,larval,Offspring,B1_015,12,15,,,,
201604,244_01_C10G,3.34,pond,Offspring,B1_015,12,15,,,,
201604,244_01_H9G,5.12,pond,Offspring,B1_015,12,15,,,,
201604,243_008P,NA,pond,Offspring,B1_015,12,15,,,,
201604,243_010P,NA,pond,Offspring,B1_015,12,15,,,,
201604,243_016P,NA,pond,Offspring,B1_015,12,15,,,,
201604,243_055P,NA,pond,Offspring,B1_015,12,15,,,,
201604,244_01_B10G,0,pond,Offspring,B1_015,12,15,,,,
201604,244_01_G9G,0,pond,Offspring,B1_015,12,15,,,,
201604,201604BR282,4.73,broodstock,father,B1_034,13,8,,,,
201604,201604BR458,1.31,broodstock,mother,B1_034,13,8,,,,
201604,RC8_499_PL,6.44,larval,Offspring,B1_034,13,8,,,,
201604,RC8_180_PL,6.76,larval,Offspring,B1_034,13,8,,,,
201604,RC8_103_PL,7.12,larval,Offspring,B1_034,13,8,,,,
201604,RC8_545_PL,7.23,larval,Offspring,B1_034,13,8,,,,
201604,RC8_153_PL,7.6,larval,Offspring,B1_034,13,8,,,,
201604,243_01_F11G,3.9,pond,Offspring,B1_034,13,8,,,,
201604,244_01_C12G,7.02,pond,Offspring,B1_034,13,8,,,,
201604,243_034P,NA,pond,Offspring,B1_034,13,8,,,,
201604,201604BR160,3.52,broodstock,father,B1_010,14,6,,,,
201604,201604BR054,3.26,broodstock,mother,B1_010,14,6,,,,
201604,RC8_530_PL,3.9,larval,Offspring,B1_010,14,6,,,,
201604,RC8_533_PL,5.78,larval,Offspring,B1_010,14,6,,,,
201604,RC8_123_PL,6.81,larval,Offspring,B1_010,14,6,,,,
201604,RC8_135_PL,7.34,larval,Offspring,B1_010,14,6,,,,
201604,243_012P,NA,pond,Offspring,B1_010,14,6,,,,
201604,243_030P,NA,pond,Offspring,B1_010,14,6,,,,
201602,RC8_512_PL,6.9,larval,Offspring,B1_003,15,6,,,,
201602,RC8_542_PL,7.83,larval,Offspring,B1_003,15,6,,,,
201604,201604BR160,3.52,broodstock,father,B1_003,15,6,,,,
201604,201604BR014,3.49,broodstock,mother,B1_003,15,6,,,,
201604,RC8_563_PL,6.38,larval,Offspring,B1_003,15,6,,,,
