Cohort,OffspringID,Plateno,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamID,FamilyID,Offspring count,Pondcount,Larvalcount
201604,RA5_149,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_151,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_152,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_153,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_154,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_155,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_163,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_166,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_168,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_171,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_176,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_178,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_179,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_180,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_183,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_184,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_185,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_186,2,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_187,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_188,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_193,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_195,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_198,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_202,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_204,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_206,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_208,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_209,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_210,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_212,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_217,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_222,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_223,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_227,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_228,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_229,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_231,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_235,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_236,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_239,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_240,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_241,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_242,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_243,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_244,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_245,3,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_247,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_248,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_249,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_253,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_261,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_264,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_267,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_270,3,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_271,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_274,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_280,3,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_282,3,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_286,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_291,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_292,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_296,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_300,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_301,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_302,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_304,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_305,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_309,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_310,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_311,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_315,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_318,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_323,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_326,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_327,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_331,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_332,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_342,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_343,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_346,4,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_347,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_349,4,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_350,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_351,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_355,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_358,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_363,4,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_366,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_367,4,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_371,4,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_376,4,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_378,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_384,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_394,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_401,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_403,5,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_417,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_419,5,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
