Cohort,OffspringID,Offspringlggav,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID,gavscreenlist,FamilyID,Offspring count,Pond count,Larval count
201604,135_001_G5_G,ND,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,B1_025,9,2,7
201604,135_001_G6_G,ND,135,pond,201604BR247,3.16,201604BR474,NA,B2_019,n,B2_012,9,0,9
201604,135_001_G7_G,4.85,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B2_008,9,0,9
201604,135_001_G8_G,3.27,135,pond,201604BR133,3.9,201604BR062,3.06,B2_002,n,B3_023,8,3,5
201604,135_001_G9_G,ND,135,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,G1T1701_BR_119_MP__G1T1701_BR_324_MP,8,8,0
201604,135_001_H1_G,4.6,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_053_GP__G1T1701_BR_005_P,6,6,0
201604,135_001_H10_G,3.49,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_113_MP__G1T1701_BR_262_MP,6,6,0
201604,135_001_H11_G,3.57,135,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_401_MP__G1T1701_BR_025_P,6,6,0
201604,135_001_H2_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_159_MP__G1T1701_BR_444_MP,6,6,0
201604,135_001_H4_G,ND,135,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,B3_006,6,0,6
201604,135_001_H5_G,ND,135,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_067_GP__G1T1701_BR_038_P,5,5,0
201604,135_001_H9_G,3.14,135,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_134_MP__G1T1701_BR_444_MP,5,5,0
201604,136_001_A1_G,6.45,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_119_MP__G1T1701_BR_015_P,4,4,0
201604,136_001_A11_G,6.98,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_123_MP__G1T1701_BR_251_MP,4,4,0
201604,136_001_A12_G,3.45,136,pond,201604BR359,4.35,201604BR071,3.5,B2_016,n,G1T1701_BR_103_MP__G1T1701_BR_012_P,4,4,0
201604,136_001_A2_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,B1_027,4,0,4
201604,136_001_A3_G,ND,136,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,G1T1701_BR_103_MP__G1T1701_BR_014_P,3,3,0
201604,136_001_A4_G,3.69,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,G1T1701_BR_211_MP__G1T1701_BR_428_MP,3,3,0
201604,136_001_A5_G,ND,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,G1T1701_BR_049_GP__G1T1701_BR_001_P,2,2,0
201604,136_001_A6_G,5.95,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,G1T1701_BR_068_P__G1T1701_BR_017_P,2,2,0
201604,136_001_A7_G,ND,136,pond,201604BR277,3.38,201604BR003,3.03,B2_011,n,G1T1701_BR_064_P__G1T1701_BR_031_P,2,2,0
201604,136_001_A8_G,3.93,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_090_M__G1T1701_BR_022_P,1,1,0
201604,136_001_B1_G,4.25,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,G1T1701_BR_401_MP__G1T1701_BR_450_MP,0,1,-1
201604,136_001_B10_G,ND,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_B11_G,4.18,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_B12_G,ND,136,pond,201604BR261,NA,201604BR103,3.41,B2_020,n,,,,
201604,136_001_B2_G,3.15,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_B3_G,5.74,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_B4_G,3.65,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_B5_G,7.43,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_B6_G,7.28,136,pond,201604BR231,3.15,201604BR074,4.09,B2_009,n,,,,
201604,136_001_B7_G,5.74,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_B8_G,6.96,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_B9_G,6.4,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_C10_G,3.1,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_C11_G,3.58,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_C3_G,4.9,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_C4_G,ND,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_C6_G,4.7,136,pond,201604BR365,3.55,201604BR537,2.04,B2_017,n,,,,
201604,136_001_C7_G,3.74,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_C9_G,3.64,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_D1_G,3.35,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_D10_G,3.58,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_D12_G,ND,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_D2_G,ND,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_D4_G,3.19,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_D5_G,4,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_D6_G,3.81,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_D7_G,4.16,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_D8_G,3.99,136,pond,201604BR133,3.9,201604BR062,3.06,B2_002,n,,,,
201604,136_001_D9_G,3.83,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_E1_G,5.37,136,pond,201604BR323,5.47,201604BR429,0,B2_013,n,,,,
201604,136_001_E11_G,3.18,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_E12_G,5.09,136,pond,201604BR261,NA,201604BR119,4,B2_021,n,,,,
201604,136_001_E2_G,ND,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_E3_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_E4_G,ND,136,pond,201604BR261,NA,201604BR119,4,B2_021,n,,,,
201604,136_001_E5_G,5.17,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_E6_G,4.06,136,pond,201604BR189,3.85,201604BR085,3.97,B2_005,n,,,,
201604,136_001_E7_G,3.62,136,pond,201604BR261,NA,201604BR119,4,B2_021,n,,,,
201604,136_001_E8_G,5.24,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_E9_G,4.19,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_F1_G,ND,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_F10_G,3.07,136,pond,201604BR142,0,201604BR049,0,B2_003,n,,,,
201604,136_001_F11_G,3.39,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_F12_G,3.52,136,pond,201604BR359,4.35,201604BR071,3.5,B2_016,n,,,,
201604,136_001_F3_G,3.25,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_F5_G,5,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_F7_G,3.19,136,pond,201604BR223,NA,201604BR102,0,B2_007,n,,,,
201604,136_001_F8_G,ND,136,pond,201604BR336,5.39,201604BR099,3.51,B2_015,n,,,,
201604,136_001_G1_G,ND,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
201604,136_001_G10_G,8.03,136,pond,201604BR231,3.15,201604BR094,3.71,B2_010,n,,,,
201604,136_001_G11_G,6.3,136,pond,201604BR247,3.16,201604BR474,NA,B2_019,n,,,,
201604,136_001_G2_G,3,136,pond,201604BR326,4.07,201604BR520,4.15,B2_014,n,,,,
