Cohort,OffspringID,Plate no.,Well location,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID
201604,RA4_242,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_308,4,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_317,4,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_318,4,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_334,4,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_335,4,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_379,5,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_402,5,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_413,5,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_442,5,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_457,5,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_048,1,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_082,1,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_101,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_103,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_111,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_123,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_129,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_138,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_148,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_171,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_176,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_179,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_183,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_187,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_188,2,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_209,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_210,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_212,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_223,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_227,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_241,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_242,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_245,3,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_346,4,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_349,4,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_376,4,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_403,5,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_421,5,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA5_436,5,,A5,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_009,1,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_025,1,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_041,1,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_074,1,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_105,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_107,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_111,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_155,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_158,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_174,2,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_189,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_195,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_198,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_199,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_220,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_232,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_237,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_255,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_265,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_267,3,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_289,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_301,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_307,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_313,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_316,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_322,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_340,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_343,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_360,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_361,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_362,4,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_384,5,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_385,5,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_386,5,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_438,5,,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_003,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_024,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_025,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_055,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_062,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_089,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_094,1,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_114,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_122,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_128,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_135,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_139,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_151,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_152,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_153,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_163,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_166,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_168,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_185,2,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_217,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_231,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_239,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_248,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_271,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_274,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_280,3,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_296,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_309,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_347,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_351,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_358,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_371,4,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_440,5,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA5_454,5,,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010
201604,RA4_003,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_005,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_015,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_064,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_067,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_075,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_077,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_085,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_086,1,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_101,2,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_114,2,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_115,2,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_138,2,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_145,2,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_202,3,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_224,3,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_229,3,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_230,3,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_263,3,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_285,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_293,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_304,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_327,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_342,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_344,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_372,4,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_383,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_405,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_433,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_439,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
201604,RA4_444,5,,A4,larval,201604BR323,5.47,201604BR429,0,B2_013
