Cohort,Code,Age,Class,PrawnID,GAV,FamID,IntFamID
201604,244,broodstock,father,201604BR289,5.5,B1_030,5
201604,C8,larval,Offspring,RC9_145_PL,6.94,B1_030,5
201604,136,larval,Offspring,RC9_209_PL,6.97,B1_030,5
201604,136,larval,Offspring,RC9_234_PL,7.01,B1_030,5
201604,parent,larval,Offspring,RC9_178_PL,7.08,B1_030,5
201604,C8,larval,Offspring,RC9_147_PL,7.08,B1_030,5
201604,243,larval,Offspring,RC9_176_PL,7.19,B1_030,5
201604,135,larval,Offspring,RC9_279_PL,7.37,B1_030,5
201604,136,larval,Offspring,RC9_123_PL,7.63,B1_030,5
201604,parent,larval,Offspring,RC9_161_PL,7.67,B1_030,5
201604,243,larval,Offspring,RC9_224_PL,7.67,B1_030,5
201604,C8,larval,Offspring,RC9_235_PL,7.75,B1_030,5
201604,243,larval,Offspring,RC9_169_PL,9.44,B1_030,5
201604,135,pond,Offspring,243_068P,NA,B1_030,5
201604,C9,pond,Offspring,243_071P,NA,B1_030,5
201602,parent,broodstock,mother,201604BR020,3.51,B1_004,6
201602,parent,pond,Offspring,244_01_E7G,3.71,B1_004,6
201602,parent,pond,Offspring,244_01_G7G,3.72,B1_004,6
201604,parent,broodstock,father,201604BR199,3.82,B1_004,6
201602,parent,pond,Offspring,244_01_B9G,3.93,B1_004,6
201602,parent,larval,Offspring,RC8_531_PL,4.01,B1_004,6
201602,parent,larval,Offspring,RC8_131_PL,4.2,B1_004,6
201602,parent,larval,Offspring,RC8_534_PL,4.75,B1_004,6
201602,parent,larval,Offspring,RC8_114_PL,5.26,B1_004,6
201602,parent,larval,Offspring,RC8_521_PL,6.45,B1_004,6
201602,parent,larval,Offspring,RC9_262_PL,6.61,B1_004,6
201604,parent,larval,Offspring,RC9_144_PL,6.72,B1_004,6
201602,parent,larval,Offspring,RC8_477_PL,6.94,B1_004,6
201602,parent,larval,Offspring,RC8_099_PL,7.15,B1_004,6
201602,parent,larval,Offspring,RC9_232_PL,7.38,B1_004,6
201604,parent,larval,Offspring,RC9_258_PL,7.43,B1_004,6
201602,parent,pond,Offspring,243_004P,NA,B1_004,6
201602,parent,pond,Offspring,243_023P,NA,B1_004,6
201602,parent,pond,Offspring,243_024P,NA,B1_004,6
201602,parent,pond,Offspring,243_033P,NA,B1_004,6
201604,135,pond,Offspring,243_077P,NA,B1_004,6
201604,135,pond,Offspring,243_01_D5G,0,B1_004,6
201604,135,pond,Offspring,243_01_D7G,0,B1_004,6
201602,parent,pond,Offspring,244_01_E10G,0,B1_004,6
201604,parent,broodstock,father,201604BR239,0,B1_021,7
201604,parent,broodstock,mother,201604BR103,3.41,B1_021,7
201604,parent,pond,Offspring,243_01_C6G,3.92,B1_021,7
201604,135,pond,Offspring,243_01_G11G,4.21,B1_021,7
201604,C9,larval,Offspring,RC8_130_PL,6.88,B1_021,7
201604,243,larval,Offspring,RC9_199_PL,7.04,B1_021,7
201602,142,larval,Offspring,RC8_524_PL,7.09,B1_021,7
