Cohort,Code,Age,Class,PrawnID,GAV,FamID,
201604,C9,pond,Offspring,243_01_G9G,7.21,B1_036,
201604,C9,larval,Offspring,RC9_171_PL,7.35,B1_036,
201604,C8,larval,Offspring,RC9_265_PL,7.51,B1_036,
201604,C8,larval,Offspring,RC8_143_PL,7.73,B1_036,
201604,C9,pond,Offspring,243_021P,NA,B1_036,
201604,C8,pond,Offspring,243_032P,NA,B1_036,
201604,C9,broodstock,mother,201604BR515,1.58,B1_037,
201604,C9,pond,Offspring,244_01_B7G,3.98,B1_037,
201604,C9,broodstock,father,201604BR385,4.41,B1_037,
201604,C9,larval,Offspring,RC8_125_PL,6.33,B1_037,
201604,C8,larval,Offspring,RC8_102_PL,6.59,B1_037,
201604,C8,larval,Offspring,RC8_167_PL,7.24,B1_037,
201604,C9,pond,Offspring,243_083P,NA,B1_037,
201604,C9,pond,Offspring,243_01_B8G,0.00,B1_037,
201604,C9,broodstock,mother,201604BR062,3.06,B2_002,
201604,C9,pond,Offspring,201604_135_001_D10_G,3.07,B2_002,
201604,C9,pond,Offspring,201604_135_001_G8_G,3.27,B2_002,
201604,C8,broodstock,father,201604BR133,3.90,B2_002,
201604,243,pond,Offspring,201604_136_001_D8_G,3.99,B2_002,
201604,C9,pond,Offspring,201604_135_001_B8_G,2.58,B2_003,
201604,C8,pond,Offspring,201604_135_001_A11_G,2.81,B2_003,
201604,C8,pond,Offspring,201604_136_001_F10_G,3.07,B2_003,
201604,135,pond,Offspring,201604_136_001_D1_G,3.35,B2_003,
201604,C9,pond,Offspring,201604_136_001_C9_G,3.64,B2_003,
201604,C9,pond,Offspring,201604_136_001_D6_G,3.81,B2_003,
201604,C9,pond,Offspring,201604_136_001_D9_G,3.83,B2_003,
201604,C8,pond,Offspring,201604_135_001_E8_G,3.83,B2_003,
201604,C8,pond,Offspring,201604_135_001_D11_G,4.31,B2_003,
201602,142,pond,Offspring,201604_136_001_E5_G,5.17,B2_003,
201604,C8,broodstock,mother,201604BR049,0,B2_003,
201604,C8,broodstock,father,201604BR142,0,B2_003,
201604,C9,pond,Offspring,201604_135_001_A5_G,0.00,B2_003,
201604,C9,pond,Offspring,201604_135_001_C7_G,0.00,B2_003,
201604,C8,pond,Offspring,201604_136_001_D12_G,0.00,B2_003,
201604,C9,broodstock,mother,201604BR021,3.01,B2_004,
201604,C8,broodstock,father,201604BR170,3.94,B2_004,
201604,C8,pond,Offspring,201604_135_001_F4_G,0.00,B2_004,
201604,C8,pond,Offspring,201604_135_001_E11_G,3.59,B2_005,
201604,C9,broodstock,father,201604BR189,3.85,B2_005,
201604,136,broodstock,mother,201604BR085,3.97,B2_005,
201604,C9,pond,Offspring,201604_136_001_E6_G,4.06,B2_005,
201604,C9,pond,Offspring,201604_135_001_F9_G,2.74,B2_007,
201604,C9,pond,Offspring,201604_135_001_A8_G,2.78,B2_007,
201604,C8,pond,Offspring,201604_136_001_G6_G,3.11,B2_007,
201604,C9,pond,Offspring,201604_136_001_B2_G,3.15,B2_007,
201604,C8,pond,Offspring,201604_136_001_F7_G,3.19,B2_007,
201604,C9,pond,Offspring,201604_135_001_E10_G,3.21,B2_007,
201604,C8,pond,Offspring,201604_136_001_F3_G,3.25,B2_007,
201604,C9,pond,Offspring,201604_136_001_G5_G,3.39,B2_007,
201604,C9,pond,Offspring,201604_135_001_H10_G,3.49,B2_007,
201604,C9,pond,Offspring,201604_135_001_H11_G,3.57,B2_007,
201604,C8,pond,Offspring,201604_135_001_E3_G,3.58,B2_007,
201604,C9,pond,Offspring,201604_135_001_G1_G,3.59,B2_007,
201604,C9,pond,Offspring,201604_135_001_D1_G,4.72,B2_007,
201604,C9,pond,Offspring,201604_135_001_E2_G,5.06,B2_007,
201604,C9,pond,Offspring,201604_136_001_A6_G,5.95,B2_007,
201604,C9,pond,Offspring,201604_136_001_B9_G,6.40,B2_007,
201604,C8,pond,Offspring,201604_136_001_A1_G,6.45,B2_007,
201604,C8,pond,Offspring,201604_135_001_B4_G,6.65,B2_007,
201604,C8,pond,Offspring,201604_136_001_B8_G,6.96,B2_007,
201604,C9,broodstock,mother,201604BR102,0,B2_007,
201604,C8,broodstock,father,201604BR223,NA,B2_007,
