PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_BR_134_MP,5.97,Mother,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,
G1T1701_BR_401_MP,6.20,Mother,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,,,
G1T1701_BR_401_MP,6.20,Mother,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,,,,
G1T1701_BR_113_MP,6.29,Mother,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,
G1T1701_BR_211_MP,7.81,Mother,G1T1701_BR_211_MP__G1T1701_BR_189_MP,,,,,
G1T1701_BR_211_MP,7.81,Mother,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,,,,
G1T1701_BR_139_MP,8.37,Mother,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_BR_139_MP,8.37,Mother,G1T1701_BR_139_MP__G1T1701_BR_023_P,,,,,
G1T1701_BR_062_P,#N/A,Mother,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_BR_050_GP,#N/A,Mother,G1T1701_BR_050_GP__G1T1701_BR_002_P,,,,,
G1T1701_BR_057_GP,#N/A,Mother,G1T1701_BR_057_GP__G1T1701_BR_014_P,,,,,
G1T1701_BR_054_P,#N/A,Mother,G1T1701_BR_054_P__G1T1701_BR_017_P,,,,,
G1T1701_BR_062_P,#N/A,Mother,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,
G1T1701_BR_171_M,#N/A,Mother,G1T1701_BR_171_M__G1T1701_BR_189_MP,,,,,
G1T1701_BR_095_MP,#N/A,Mother,G1T1701_BR_095_MP__G1T1701_BR_283_MP,,,,,
G1T1701_BR_095_MP,#N/A,Mother,G1T1701_BR_095_MP__G1T1701_BR_445_MP,,,,,
G1T1701_BR_055_P,#N/A,Mother,G1T1701_BR_055_P__G1T1701_BR_444_MP,,,,,
G1T1701_BR_052_P,#N/A,Mother,G1T1701_BR_052_P__G1T1701_BR_007_P,,,,,
G1T1701_BR_060_P,#N/A,Mother,G1T1701_BR_060_P__G1T1701_BR_022_P,,,,,
G1T1701_BR_222_M,#N/A,Mother,G1T1701_BR_222_M__G1T1701_BR_363_MP,,,,,
G1T1701_BR_070_P,#N/A,Mother,G1T1701_BR_070_P__G1T1701_BR_041_P,,,,,
G1T1701_BR_102_MP,#N/A,Mother,G1T1701_BR_102_MP__G1T1701_BR_325_MP,,,,,
G1T1701_BR_057_GP,#N/A,Mother,G1T1701_BR_057_GP__G1T1701_BR_012_P,,,,,
G1T1701_BR_055_P,#N/A,Mother,G1T1701_BR_055_P__G1T1701_BR_013_P,,,,,
G1T1701_BR_055_P,#N/A,Mother,G1T1701_BR_055_P__G1T1701_BR_010_P,,,,,
G1T1701_BR_059_P,#N/A,Mother,G1T1701_BR_059_P__G1T1701_BR_018_P,,,,,
G1T1701_BR_385_MP,#N/A,Mother,G1T1701_BR_385_MP__G1T1701_BR_367_MP,,,,,
G1T1701_BR_204_M,#N/A,Mother,G1T1701_BR_204_M__G1T1701_BR_428_MP,,,,,
G1T1701_BR_065_P,#N/A,Mother,G1T1701_BR_065_P__G1T1701_BR_036_P,,,,,
G1T1701_BR_192_MP,#N/A,Mother,G1T1701_BR_192_MP__G1T1701_BR_141_MP,,,,,
G1T1701_BR_117_MP,#N/A,Mother,G1T1701_BR_117_MP__G1T1701_BR_348_MP,,,,,
G1T1701_BR_163_MP,#N/A,Mother,G1T1701_BR_163_MP__G1T1701_BR_278_MP,,,,,
G1T1701_BR_052_P,#N/A,Mother,G1T1701_BR_052_P__G1T1701_BR_004_P,,,,,
G1T1701_BR_095_MP,#N/A,Mother,G1T1701_BR_095_MP__G1T1701_BR_272_MP,,,,,
G1T1701_BR_204_M,#N/A,Mother,G1T1701_BR_204_M__G1T1701_BR_279_MP,,,,,
G1T1701_BR_065_P,#N/A,Mother,G1T1701_BR_065_P__G1T1701_BR_035_P,,,,,
G1T1701_BR_362_MP,#N/A,Mother,G1T1701_BR_362_MP__G1T1701_BR_284_MP,,,,,
G1T1701_BR_059_P,#N/A,Mother,G1T1701_BR_059_P__G1T1701_BR_017_P,,,,,
G1T1701_BR_135_MP,#N/A,Mother,G1T1701_BR_135_MP__G1T1701_BR_359_MP,,,,,
G1T1701_BR_402_MP,#N/A,Mother,G1T1701_BR_402_MP__G1T1701_BR_325_MP,,,,,
G1T1701_BR_198_M,#N/A,Mother,G1T1701_BR_198_M__G1T1701_BR_044_P,,,,,
G1T1701_BR_388_MP,#N/A,Mother,G1T1701_BR_388_MP__G1T1701_BR_441_MP,,,,,
G1T1701_BR_168_MP,#N/A,Mother,G1T1701_BR_168_MP__G1T1701_BR_031_P,,,,,
G1T1701_BR_062_P,#N/A,Mother,G1T1701_BR_062_P__G1T1701_BR_363_MP,,,,,
G1T1701_149_001_A1_G,0.00,Offspring,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,
G1T1701_149_001_A10_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_001_A2_G,0.00,Offspring,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,
