PrawnID,GAV,Age,Class,FamID,IntFamID
G1T1701_149_005_B7_G,0,Pond,Offspring,G1T1701_BR_048_P__G1T1701_BR_001_P,2
G1T1701_161_001_G8_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_F7_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_F1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_B3_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_B1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_A4_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_161_001_A2_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_160_001_G5_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_160_001_F5_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_160_001_E10_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_160_001_C12_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_160_001_C11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_H11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_H10_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_F9_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_F1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_C2_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_156_001_B1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_152_001_F11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_152_001_D8_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_005_H7_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_005_G8_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_005_C3_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_005_B5_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_H3_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_F5_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_F11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_D1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_B4_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_003_B11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_002_H1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_150_001_E2_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_005_D10_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_005_B6_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_005_B10_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_F11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_E2_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_D8_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_B7_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_B1_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_A7_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_003_A3_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_002_B11_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_001_H6_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_001_F3_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_001_E12_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_001_A5_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_149_001_A10_G,0,Pond,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,3
G1T1701_BR_049_GP,0,broodstock,Mother,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_156_001_G4_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_156_001_C8_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_156_001_B9_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_152_001_D9_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_004_H1_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_004_E11_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_004_B9_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_003_G3_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_003_E2_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_003_D10_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_003_B7_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_150_001_B8_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_149_003_D9_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_149_002_E9_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_149_001_H8_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_149_001_C6_G,0,Pond,Offspring,G1T1701_BR_049_GP__G1T1701_BR_003_P,4
G1T1701_BR_166_MP,0,broodstock,Mother,G1T1701_BR_166_MP__G1T1701_BR_263_MP,5
