 ID,GAV,Family ID,Class
G1T1701_149_001_A8_G,183.49,2,Offspring
G1T1701_149_001_A9_G,24.45,2,Offspring
G1T1701_149_001_E12_G,NA,2,Offspring
G1T1701_149_001_F3_G,NA,2,Offspring
G1T1701_149_001_H6_G,NA,2,Offspring
G1T1701_149_002_B11_G,NA,2,Offspring
G1T1701_149_002_F3_G,91181.51,2,Offspring
G1T1701_149_003_A3_G,NA,2,Offspring
G1T1701_149_003_A7_G,NA,2,Offspring
G1T1701_149_003_B1_G,NA,2,Offspring
G1T1701_149_003_B12_G,23,2,Offspring
G1T1701_149_003_B7_G,NA,2,Offspring
G1T1701_149_003_C8_G,96.86,2,Offspring
G1T1701_149_003_D8_G,NA,2,Offspring
G1T1701_149_003_E2_G,NA,2,Offspring
G1T1701_149_003_E7_G,1109.31,2,Offspring
G1T1701_149_003_F11_G,NA,2,Offspring
G1T1701_149_004_A8_G,NA,2,Offspring
G1T1701_149_004_B11_G,NA,2,Offspring
G1T1701_149_004_B8_G,NA,2,Offspring
G1T1701_149_004_C7_G,NA,2,Offspring
G1T1701_149_004_C9_G,NA,2,Offspring
G1T1701_149_004_D5_G,NA,2,Offspring
G1T1701_149_004_F8_G,NA,2,Offspring
G1T1701_149_005_A9_G,87.22,2,Offspring
G1T1701_149_005_B10_G,NA,2,Offspring
G1T1701_149_005_B6_G,NA,2,Offspring
G1T1701_149_005_B8_G,22.55,2,Offspring
G1T1701_149_005_D10_G,NA,2,Offspring
G1T1701_149_001_A1_G,NA,3,Offspring
G1T1701_149_001_F5_G,NA,3,Offspring
G1T1701_149_001_F7_G,NA,3,Offspring
G1T1701_149_001_G7_G,NA,3,Offspring
G1T1701_149_001_H1_G,NA,3,Offspring
G1T1701_149_002_A1_G,371.21,3,Offspring
G1T1701_149_002_A12_G,160.34,3,Offspring
G1T1701_149_002_F5_G,422247.85,3,Offspring
G1T1701_149_002_G10_G,5249.95,3,Offspring
G1T1701_149_003_C1_G,14.1,3,Offspring
