Cohort,Farmcode,Type,Offspring ID,OffspringlgGAV,FatherID,FatherLog10GAV,MotherID,MotherlgGAV,FamilyID,,Family ID,FinalFamno.,offspring count,pondprop.(%),larval prop.(%),Fatherld,Mother ld,Meanparentld,Max ld,Min ld,Mean Offspring ld,Family ID
201604,135,pond,135_02_D1G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_182_MP__G1T1701_BR_024_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_D9G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_211_MP__G1T1701_BR_372_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_E5G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_E7G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_B11G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_F1G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_05_F3G,NA,201604BR231,3.15,201604BR074,4.09,B2_009,,G1T1701_BR_461_P__G1T1701_BR_041_P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_A7_G,2.96,201604BR231,3.15,201604BR074,4.09,B2_009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_C12_G,3.91,201604BR231,3.15,201604BR074,4.09,B2_009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_D4_G,0.00001,201604BR231,3.15,201604BR074,4.09,B2_009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,201604_135_001_E1_G,3.46,201604BR231,3.15,201604BR074,4.09,B2_009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_A11G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_A6G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_B3G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_C5G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_C8G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_D5G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_D8G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_E10G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_E11G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_E12G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_E9G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_F10G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_H1G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_02_H5G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_A3G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_B3G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_D2G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_E1G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_F2G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_F6G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_G6G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_03_H5G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_A9G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
201604,135,pond,135_04_B6G,NA,201604BR231,3.15,201604BR094,3.71,B2_010,,,,,,,,,,,,,
