Cohort,Pond,Class,Prawn ID,log10GAV,FamilyID,,IntFamID,FamilyID,FamIntID,FatherGAVld,MotherGAVld,Mean Parent Load,Offspringcount,Offspring GAV+ve,Gav+ve(%),Offspring GAV -ve,GAV -ve (%),Offspringmeanld,Maxld,Minld
201604,BR,Father,201604BR231,3.15,B2_010,,FAM_43,B2_020,33,4.07,4.15,4.11,5,3,60,2,40,2.24,4.3,0
201604,BR,Father,201604BR277,3.38,B2_011,,FAM_75,B2_009,23,nd,nd,nd,5,4,80,1,20,3.52,7.28,0
201604,BR,Father,201604BR323,5.47,B2_013,,FAM_44,B1_036,16,4.05,4.18,4.11,5,5,100,0,0,6.07,7.21,4
201604,BR,Father,201604BR326,4.07,B2_014,,FAM_62,B3_005,38,3.16,NA,3.16,6,0,0,6,100,0,0,0
201604,BR,Father,201604BR336,5.39,B2_015,,FAM_61,B1_015,7,3.18,3.51,3.35,6,4,67,2,33,2.62,5.12,0
201604,BR,Father,201604BR359,4.35,B2_016,,FAM_35,G1T1701_BR_103_MP__G1T1701_BR_014_P,66,4.78,3.47,4.13,6,4,67,2,33,1.58,3.77,0
201604,BR,Father,201604BR365,3.55,B2_017,,FAM_16,G1T1701_BR_123_MP__G1T1701_BR_251_MP,71,6.61,nd,3.31,7,1,14,6,86,0.47,3.32,0
201604,BR,Father,201604BR376,3.34,B2_018,,FAM_78,G1T1701_BR_064_P__G1T1701_BR_033_P,60,nd,NA,NA,7,1,14,6,86,0.44,3.06,0
201604,BR,Father,201604BR247,3.16,B2_019,,FAM_54,B1_011,6,3.52,3.26,3.39,8,8,100,0,0,4.66,6.52,3.77
201604,BR,Father,201604BR261,NA,B2_020,,FAM_50,B1_019,9,3.69,3.42,3.56,8,8,100,0,0,4.32,4.92,3.77
201604,BR,Father,201604BR261,NA,B2_021,,FAM_38,B1_008,4,4.56,3.01,3.79,9,7,78,2,22,3.32,7.9,0
201602,BR,Father,201602BR113,NA,B3_001,,FAM_13,G1T1701_BR_401_MP__G1T1701_BR_025_P,83,NA,NA,NA,10,6,60,4,40,1.3,4.17,0
201602,BR,Father,201602BR102,3.57,B3_003,,FAM_58,B2_017,30,3.38,3.03,3.2,11,9,82,2,18,4.31,7.21,0
201602,BR,Father,201602BR093,1.73,B3_004,,FAM_79,G1T1701_BR_068_P__G1T1701_BR_017_P,63,nd,3.65,1.82,11,8,73,3,27,2.78,5.65,0
201602,BR,Father,201602BR125,NA,B3_005,,FAM_28,G1T1701_BR_119_MP__G1T1701_BR_015_P,69,5.32,3.3,4.31,12,4,33,8,67,0.66,2.64,0
201602,BR,Father,201602BR105,1.39,B3_007,,FAM_6,B3_013,44,NA,2.76,2.76,12,3,25,9,75,0.78,3.14,0
201602,BR,Father,201602BR093,1.73,B3_008,,FAM_69,B3_016,47,1.73,2.22,1.98,13,2,15,11,85,0.52,3.71,0
201602,BR,Father,201602BR110,nd,B3_009,,FAM_63,B2_015,28,3.15,4.09,3.62,13,9,69,4,31,3.2,7.43,0
201602,BR,Father,201602BR087,1.82,B3_011,,FAM_22,G1T1701_BR_134_MP__G1T1701_BR_444_MP,73,5.62,3.79,4.71,15,8,53,7,47,1.03,3.14,0
201602,BR,Father,201602BR088,2.31,B3_012,,FAM_67,B3_020,50,1.82,nd,1.82,16,5,31,11,69,1.15,5.3,0
201602,BR,Father,201602BR121,NA,B3_013,,FAM_2,B2_013,26,NA,nd,NA,17,11,65,6,35,2.77,6.4,0
201602,BR,Father,201602BR105,1.39,B3_014,,FAM_56,G1T1701_BR_112_MP__G1T1701_BR_002_P,67,3.5,3.82,3.66,19,11,58,8,42,1.96,10.48,0
201602,BR,Father,201602BR104,nd,B3_015,,FAM_9,G1T1701_BR_053_GP__G1T1701_BR_005_P,57,NA,1.31,1.31,21,6,29,15,71,0.79,4.96,0
201602,BR,Father,201602BR096,1.7,B3_016,,FAM_42,B2_014,27,4.07,4.15,4.11,26,14,54,12,46,2.13,6.98,0
201602,BR,Father,201602BR102,3.57,B3_017,,FAM_83,G1T1701_BR_182_MP__G1T1701_BR_024_P,79,nd,6.43,3.21,28,11,39,17,61,1.18,5.75,0
201602,BR,Father,201602BR020,NA,B3_019,,FAM_57,G1T1701_BR_113_MP__G1T1701_BR_262_MP,68,3.5,3.75,3.62,30,14,47,16,53,1.42,6,0
201602,BR,Father,201602BR118,NA,B3_020,,FAM_30,G1T1701_BR_067_GP__G1T1701_BR_037_P,61,5.16,3.65,4.4,34,15,44,19,56,0.98,3.62,0
201602,BR,Father,201602BR126,NA,B3_023,,FAM_73,G1T1701_BR_048_P__G1T1701_BR_001_P,53,1.39,3.32,2.36,36,26,72,10,28,2.28,6.69,0
201602,BR,Father,201602BR127,nd,B3_029,,FAM_23,G1T1701_BR_139_MP__G1T1701_BR_042_P,74,5.62,3.59,4.61,40,18,45,22,55,1.44,5.63,0
