Cohort,Pond,Class,Prawn ID,log10GAV,FamilyID,,IntFamID,FamilyID,FamIntID,FatherGAVld,MotherGAVld,Mean Parent Load,Offspringcount,Offspring GAV+ve,Gav+ve(%),Offspring GAV -ve,GAV -ve (%),Offspringmeanld,Maxld,Minld
201604,243,Offspring,243_01_C7G,3.41,B1_033,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_E9G,3.5,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_F9G,3.53,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_F10G,3.8,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B4G,3.81,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_G6G,4.05,B1_033,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_D7G,4.15,B1_033,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_C6G,4.15,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B11G,4.39,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_E11G,4.53,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_A11G,4.67,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_A5G,nd,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C8G,nd,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_F7G,nd,B1_033,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_D12G,nd,B1_033,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_G8G,nd,B1_033,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_F11G,3.9,B1_034,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_C12G,7.02,B1_034,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B10G,4,B1_036,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B12G,6.09,B1_036,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_G8G,6.1,B1_036,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_A8G,6.93,B1_036,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_G9G,7.21,B1_036,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_A6G,3.62,B1_037,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B7G,3.98,B1_037,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B8G,nd,B1_037,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D10_G,3.07,B2_002,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G8_G,3.27,B2_002,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D8_G,3.99,B2_002,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B8_G,2.58,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A11_G,2.81,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F10_G,3.07,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D1_G,3.35,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C9_G,3.64,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D6_G,3.81,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D9_G,3.83,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E8_G,3.83,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D11_G,4.31,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E5_G,5.17,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A5_G,nd,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C7_G,nd,B2_003,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D12_G,nd,B2_003,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F4_G,nd,B2_004,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E11_G,3.59,B2_005,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E6_G,4.06,B2_005,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F9_G,2.74,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A8_G,2.78,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G6_G,3.11,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B2_G,3.15,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F7_G,3.19,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E10_G,3.21,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F3_G,3.25,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G5_G,3.39,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H10_G,3.49,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H11_G,3.57,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E3_G,3.58,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G1_G,3.59,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D1_G,4.72,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E2_G,5.06,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A6_G,5.95,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B9_G,6.4,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A1_G,6.45,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B4_G,6.65,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B8_G,6.96,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A10_G,nd,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E2_G,nd,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F1_G,nd,B2_007,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H10_G,nd,B2_007,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A7_G,2.96,B2_009,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E1_G,3.46,B2_009,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C12_G,3.91,B2_009,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B6_G,7.28,B2_009,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D4_G,nd,B2_009,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C9_G,2.98,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H9_G,3.14,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E5_G,3.38,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B7_G,3.38,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H4_G,3.65,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C7_G,3.74,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E7_G,3.82,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A8_G,3.93,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G4_G,4.05,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B1_G,4.25,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H1_G,4.6,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A3_G,4.61,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F5_G,5,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C1_G,5.23,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B7_G,5.74,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D8_G,6.38,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G10_G,8.03,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D7_G,nd,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F1_G,nd,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G5_G,nd,B2_010,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D2_G,nd,B2_010,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C2_G,4.17,B2_011,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D12_G,4.35,B2_011,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A7_G,nd,B2_011,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D4_G,3.19,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H8_G,3.48,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C11_G,3.58,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B4_G,3.65,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B6_G,3.72,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G10_G,3.99,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D5_G,4,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D7_G,4.16,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E1_G,5.37,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E12_G,5.6,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F12_G,6.4,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D5_G,nd,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D6_G,nd,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H2_G,nd,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H5_G,nd,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A5_G,nd,B2_013,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B10_G,nd,B2_013,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F3_G,2.75,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C10_G,2.84,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G2_G,3,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C10_G,3.1,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F11_G,3.39,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A2_G,3.47,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B11_G,3.48,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_D10_G,3.58,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A1_G,3.66,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B11_G,4.18,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E9_G,4.19,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G7_G,4.85,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E6_G,5.87,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G9_G,6.98,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B10_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B5_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C4_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E4_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_E9_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G9_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A2_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E3_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G1_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G4_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G7_G,nd,B2_014,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H2_G,nd,B2_014,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F11_G,3.07,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E11_G,3.18,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H9_G,3.25,B2_015,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F6_G,3.93,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H6_G,4.83,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C3_G,4.9,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E8_G,5.24,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B3_G,5.74,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B5_G,7.43,B2_015,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_H4_G,nd,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C4_G,nd,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F8_G,nd,B2_015,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H7_G,nd,B2_015,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A6_G,3.02,B2_016,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A12_G,3.45,B2_016,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_F12_G,3.52,B2_016,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C5_G,nd,B2_016,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A4_G,3.69,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_C6_G,3.8,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A4_G,4.33,B2_017,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_C6_G,4.7,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G2_G,5.12,B2_017,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G3_G,5.36,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F7_G,6.23,B2_017,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A11_G,6.98,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F2_G,7.21,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B3_G,nd,B2_017,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H3_G,nd,B2_017,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_F5_G,nd,B2_018,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_D9_G,3.48,B2_019,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_G11_G,6.3,B2_019,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_G6_G,nd,B2_019,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_B9_G,3.26,B2_020,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H11_G,3.66,B2_020,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_H5_G,4.3,B2_020,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_A3_G,nd,B2_020,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_B12_G,nd,B2_020,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E7_G,3.62,B2_021,,,,,,,,,,,,,,,
201604,135,Offspring,201604_135_001_A12_G,4.09,B2_021,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E12_G,5.09,B2_021,,,,,,,,,,,,,,,
201604,136,Offspring,201604_136_001_E4_G,nd,B2_021,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H6_G,3.14,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A12_G,3.15,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G6_G,3.17,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A6_G,nd,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B10_G,nd,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C10_G,nd,B3_001,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D3_G,nd,B3_001,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B1_G,nd,B3_001,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D5_G,nd,B3_001,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_G10_G,nd,B3_001,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H1_G,nd,B3_001,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B10_G,nd,B3_003,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H11_G,nd,B3_003,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E10_G,nd,B3_004,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C7_G,nd,B3_005,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D12_G,nd,B3_005,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E5_G,nd,B3_005,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D4_G,nd,B3_005,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E6_G,nd,B3_005,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F10_G,nd,B3_005,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B12_G,3.15,B3_007,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H11_G,nd,B3_007,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H8_G,nd,B3_007,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E1_G,nd,B3_008,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G3_G,3.16,B3_009,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A5_G,nd,B3_009,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B4_G,nd,B3_009,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E12_G,nd,B3_009,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_F11_G,3.08,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A2_G,3.11,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C12_G,3.15,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B7_G,3.91,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A7_G,4.12,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F12_G,4.12,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B8_G,4.15,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B12_G,4.17,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E11_G,4.29,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E3_G,7.08,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E12_G,7.23,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A3_G,nd,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C1_G,nd,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E6_G,nd,B3_011,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G10_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A12_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B2_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B3_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_C12_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D1_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D12_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F2_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F3_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F5_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F6_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_G5_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_G6_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H2_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H4_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H5_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H6_G,nd,B3_011,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A10_G,3.74,B3_012,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D9_G,nd,B3_012,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_F3_G,nd,B3_012,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_C5_G,nd,B3_012,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F11_G,nd,B3_012,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D11_G,3.09,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G11_G,3.14,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A8_G,3.14,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A10_G,nd,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B3_G,nd,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C5_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B11_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_C6_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D11_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E10_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E4_G,nd,B3_013,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H7_G,nd,B3_013,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H5_G,3.14,B3_014,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A7_G,nd,B3_014,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_F1_G,nd,B3_014,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B2_G,nd,B3_015,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E3_G,nd,B3_015,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C2_G,3.09,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F9_G,3.71,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A9_G,nd,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B1_G,nd,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_B5_G,nd,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C9_G,nd,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_F7_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A3_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A5_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_B5_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E9_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_F1_G,nd,B3_016,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H8_G,nd,B3_016,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A11_G,nd,B3_017,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D8_G,nd,B3_017,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E7_G,nd,B3_017,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E8_G,nd,B3_017,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D10_G,nd,B3_019,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_H3_G,nd,B3_019,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H7_G,2.99,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E11_G,3.1,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E2_G,3.16,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_G2_G,3.88,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_G1_G,5.3,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C4_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_C6_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D1_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D8_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_E9_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G9_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_H10_G,nd,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A2_G,nd,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D3_G,nd,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_D6_G,nd,B3_020,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_E5_G,nd,B3_020,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_A4_G,nd,B3_023,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_D2_G,nd,B3_023,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_G5_G,nd,B3_023,,,,,,,,,,,,,,,
201602,142,Offspring,201602_142_005_A9_G,nd,B3_023,,,,,,,,,,,,,,,
201602,141,Offspring,201602_141_001_F8_G,nd,B3_029,,,,,,,,,,,,,,,
G1T1701,149,Offspring,G1T1701_149_004_A7_G,nd,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,,,,,,,,,,
G1T1701,150,Offspring,G1T1701_150_003_A1_G,nd,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,,,,,,,,,,
G1T1701,150,Offspring,G1T1701_150_003_B2_G,nd,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,,,,,,,,,,
